Source,Target,Type,Weight
10721,11193,Directed,1
13198,12892,Directed,1
11433,14679,Directed,1
14679,11433,Directed,1
14635,12953,Directed,1
12173,10397,Directed,1
10397,12173,Directed,1
13244,15304,Directed,1
10397,13871,Directed,1
13871,10397,Directed,2
14107,10397,Directed,2
12892,14492,Directed,1
15304,13244,Directed,1
11433,14635,Directed,3
14771,11433,Directed,2
10721,12478,Directed,1
13303,12953,Directed,5
12339,12892,Directed,1
12892,13204,Directed,1
12953,11292,Directed,2
15304,12478,Directed,1
15304,11433,Directed,5
11193,10721,Directed,1
13487,13930,Directed,3
13930,13487,Directed,2
11697,11193,Directed,2
11193,11697,Directed,1
10821,14869,Directed,1
13487,10821,Directed,1
12892,13198,Directed,1
13487,13303,Directed,1
14869,14057,Directed,2
11433,12266,Directed,1
12892,12339,Directed,1
13487,11298,Directed,1
12953,14122,Directed,1
14869,13244,Directed,1
14122,12953,Directed,1
13495,12892,Directed,1
13487,11278,Directed,2
14771,10397,Directed,2
13487,14679,Directed,1
11433,13930,Directed,1
10397,14107,Directed,2
14908,10397,Directed,1
11433,14107,Directed,3
11433,14027,Directed,1
14027,11433,Directed,1
10821,11433,Directed,2
11193,14107,Directed,1
11278,13487,Directed,3
10423,12478,Directed,1
13487,13204,Directed,2
13487,15016,Directed,1
14635,11433,Directed,2
14107,12478,Directed,2
11042,10397,Directed,1
10693,12892,Directed,1
11298,13487,Directed,1
14869,14570,Directed,2
11193,14747,Directed,1
14747,11193,Directed,1
13487,11292,Directed,3
14869,10721,Directed,1
13930,11433,Directed,1
13244,12892,Directed,1
12892,13244,Directed,1
11433,13244,Directed,2
11193,15304,Directed,1
15304,11193,Directed,1
11298,14869,Directed,1
14869,14107,Directed,2
14107,14869,Directed,1
14570,14869,Directed,2
14492,12892,Directed,1
15016,14869,Directed,1
13487,14908,Directed,3
13244,13204,Directed,1
10397,12264,Directed,1
12264,10397,Directed,1
13487,10140,Directed,1
10140,13487,Directed,1
13830,12892,Directed,1
13931,10397,Directed,1
11618,13487,Directed,1
11697,12478,Directed,1
12339,13487,Directed,1
11433,14057,Directed,1
10299,14869,Directed,1
14307,10397,Directed,1
