id,label
14252,Pasco/Kennewick/Richland
10559,Seattle
14747,Seattle
11884,Spokane
16101,Yakima
10408,Appleton
11471,Eau Claire
11977,Green Bay
13076,La Crosse
13485,Madison
13342,Milwaukee
11203,Mosinee
14520,Rhinelander
12223,Ashland
11146,Charleston/Dunbar
11027,Clarksburg/Fairmont
13121,Lewisburg
11122,Casper
11233,Cheyenne
11097,Cody
11865,Gillette
12441,Jackson
14543,Rock Springs
